subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
OBI:0000690	immunoprecipitation	owl:equivalentClass	BAO:0002508	immunoprecipitation	Lexical	OBI	BAO	rdf_matcher	0.7887770952115392	rdfs:label	rdfs:label	PlannedProcess	assay method component	immunoprecipitation	unique	.
OBI:0000439	agarose gel	owl:equivalentClass	BAO:0010020	agarose gel	Lexical	OBI	BAO	rdf_matcher	0.7887706860463719	rdfs:label	rdfs:label	MaterialEntity	assay bioassay component	agarosegel	unique	.
OBI:0100026	organism	owl:equivalentClass	BAO:0002934	organization	Lexical|Stemming	OBI	BAO	rdf_matcher	0.3975708412259012	rdfs:label	rdfs:label	MaterialEntity	organization	organ	many_to_many	.
OBI:0100026	organism	owl:equivalentClass	BAO:0000551	organism	Lexical	OBI	BAO	rdf_matcher	0.788720212956614	rdfs:label	rdfs:label	MaterialEntity	assay biology component	organism	many_to_many	.
OBI:0100026	organism	owl:equivalentClass	BAO:0002921	has organism	Lexical	OBI	BAO	rdf_matcher	0.7886971542099366	rdfs:label	rdfs:label	MaterialEntity	has organism	organism	many_to_many	.
OBI:0400143	fluorometer	owl:equivalentClass	BAO:0000913	Fluorometer	Lexical	OBI	BAO	rdf_matcher	0.9372869064333347	rdfs:label	rdfs:label	Device	assay method component	fluorometer	unique	.
OBI:0500016	fractional factorial design	owl:equivalentClass	BAO:0002338	fractional factorial design	Lexical	OBI	BAO	rdf_matcher	0.9373076197437974	rdfs:label	rdfs:label	Plan	assay method component	designfactorialfractional	unique	.
OBI:0000716	ChIP-seq assay	owl:equivalentClass	BAO:0010035	ChIP-seq assay	Lexical	OBI	BAO	rdf_matcher	0.7887779708011665	rdfs:label	rdfs:label	Assay	assay bioassay component	assaychipseq	unique	.
OBI:0000245	organization	owl:equivalentClass	BAO:0000551	organism	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39751862958606177	rdfs:label	rdfs:label	MaterialEntity	assay biology component	organ	many_to_many	.
OBI:0000245	organization	owl:equivalentClass	BAO:0002921	has organism	Lexical|Stemming	OBI	BAO	rdf_matcher	0.39757788493180357	rdfs:label	rdfs:label	MaterialEntity	has organism	organ	many_to_many	.
OBI:0000245	organization	owl:equivalentClass	BAO:0002934	organization	Lexical	OBI	BAO	rdf_matcher	0.7887236649177163	rdfs:label	rdfs:label	MaterialEntity	organization	organization	many_to_many	.
